07529929;183;-183
07530701;183;-183
07531479;183;-183
07532263;183;-183
07533038;183;-182
07533817;183;-182
07534602;183;-182
07535382;183;-183
07536156;183;-183
07536931;183;-183
07537715;183;-183
07538497;183;-183
07539279;183;-183
07540049;183;-183
07540830;183;-183
07541621;183;-183
07542395;183;-183
07543168;183;-183
07543946;183;-183
07544730;183;-183
07545516;183;-183
07546292;183;-183
07547064;183;-182
07547842;183;-183
07548630;183;-183
07549404;183;-183
07550180;183;-183
07550960;183;-183
07551740;183;-182
07552518;183;-182
07553293;183;-183
07554076;183;-183
07554857;183;-182
07555633;183;-183
07556408;183;-183
07557188;183;-182
07557977;183;-183
07558750;183;-182
07559525;183;-182
07560307;183;-183
07561089;183;-183
07561868;183;-183
07562649;183;-183
07563425;183;-183
07564203;183;-183
07564988;183;-183
07565767;183;-183
07566538;183;-183
07567319;183;-183
07568102;183;-182
07568883;183;-183
07569657;183;-183
07570435;183;-182
07571218;183;-183
07571994;183;-183
07572770;183;-183
07573551;183;-182
07574333;183;-183
07575108;183;-183
07575886;183;-183
07576670;183;-183
07577453;183;-182
07578229;183;-183
07579012;183;-183
07579789;183;-183
07580568;183;-183
07581349;183;-183
07582128;183;-183
07582902;183;-183
07583683;183;-183
07584467;183;-183
07585245;183;-182
07586034;183;-183
07586797;183;-182
07587579;183;-183
07588360;183;-183
07589134;183;-183
07589915;183;-182
07590697;183;-183
07591473;183;-183
07592246;183;-183
07593028;183;-182
07593812;183;-183
07594587;183;-182
07595370;183;-183
07596147;183;-183
07596930;183;-183
07597712;183;-182
07598486;183;-183
07599263;183;-182
07600043;183;-183
07600825;183;-182
07601605;183;-182
07602378;183;-182
07603158;183;-183
07603941;183;-183
07604717;183;-183
07605501;183;-182
07606274;183;-183
07607057;183;-183
07607834;183;-183
07608614;183;-183
07609390;183;-183
07610177;183;-183
07610949;183;-183
07613345;183;-183
07613362;183;-183
07613374;183;-182
07614076;183;-183
07616055;183;-182
07616071;183;-182
07616730;183;-183
07617533;183;-183
